id,year,area[m2],g_value[1],orientation[degree],tilt[degree],shading[1]
146911,1919,6.7905154512,0.75,90.0,90.0,0.75
146911,1919,6.7905154512,0.75,180.0,90.0,0.75
146911,1919,6.7905154512,0.75,270.0,90.0,0.75
146911,1949,6.515754710400001,0.75,0.0,90.0,0.75
146911,1949,6.515754710400001,0.75,90.0,90.0,0.75
146911,1949,6.515754710400001,0.75,180.0,90.0,0.75
146911,1949,6.515754710400001,0.75,270.0,90.0,0.75
146911,1958,8.7923437056,0.75,0.0,90.0,0.75
146911,1958,8.7923437056,0.75,90.0,90.0,0.75
146911,1958,8.7923437056,0.75,180.0,90.0,0.75
146911,1958,8.7923437056,0.75,270.0,90.0,0.75
146911,1969,7.76002835088,0.75,0.0,90.0,0.75
146911,1969,7.76002835088,0.75,90.0,90.0,0.75
146911,1969,7.76002835088,0.75,180.0,90.0,0.75
146911,1969,7.76002835088,0.75,270.0,90.0,0.75
146911,1979,4.9064418000000005,0.75,0.0,90.0,0.75
146911,1979,4.9064418000000005,0.75,90.0,90.0,0.75
146911,1979,4.9064418000000005,0.75,180.0,90.0,0.75
146911,1979,4.9064418000000005,0.75,270.0,90.0,0.75
146911,1984,7.771803811200002,0.75,0.0,90.0,0.75
146911,1984,7.771803811200002,0.75,90.0,90.0,0.75
146911,1984,7.771803811200002,0.75,180.0,90.0,0.75
146911,1984,7.771803811200002,0.75,270.0,90.0,0.75
146911,1995,10.440908150400002,0.6,0.0,90.0,0.6
146911,1995,10.440908150400002,0.6,90.0,90.0,0.6
146911,1995,10.440908150400002,0.6,180.0,90.0,0.6
146911,1995,10.440908150400002,0.6,270.0,90.0,0.6
146911,2002,7.555920372000001,0.6,0.0,90.0,0.6
146911,2002,7.555920372000001,0.6,90.0,90.0,0.6
146911,2002,7.555920372000001,0.6,180.0,90.0,0.6
146911,2002,7.555920372000001,0.6,270.0,90.0,0.6
146911,2009,7.555920372000001,0.6,0.0,90.0,0.6
146911,2009,7.555920372000001,0.6,90.0,90.0,0.6
146911,2009,7.555920372000001,0.6,180.0,90.0,0.6
146911,2009,7.555920372000001,0.6,270.0,90.0,0.6
147690,1918,12.03691270032,0.75,0.0,90.0,0.75
147690,1918,12.03691270032,0.75,90.0,90.0,0.75
147690,1918,12.03691270032,0.75,180.0,90.0,0.75
147690,1918,12.03691270032,0.75,270.0,90.0,0.75
147690,1919,13.26360444048,0.75,0.0,90.0,0.75
147690,1919,13.26360444048,0.75,90.0,90.0,0.75
147690,1919,13.26360444048,0.75,180.0,90.0,0.75
147690,1919,13.26360444048,0.75,270.0,90.0,0.75
147690,1949,12.726926804160001,0.75,0.0,90.0,0.75
147690,1949,12.726926804160001,0.75,90.0,90.0,0.75
147690,1949,12.726926804160001,0.75,180.0,90.0,0.75
147690,1949,12.726926804160001,0.75,270.0,90.0,0.75
147690,1958,17.173684362240003,0.75,0.0,90.0,0.75
147690,1958,17.173684362240003,0.75,90.0,90.0,0.75
147690,1958,17.173684362240003,0.75,180.0,90.0,0.75
147690,1958,17.173684362240003,0.75,270.0,90.0,0.75
147690,1969,15.157309814352,0.75,0.0,90.0,0.75
147690,1969,15.157309814352,0.75,90.0,90.0,0.75
147690,1969,15.157309814352,0.75,180.0,90.0,0.75
147690,1969,15.157309814352,0.75,270.0,90.0,0.75
147690,1979,9.58352922,0.75,0.0,90.0,0.75
147690,1979,9.58352922,0.75,90.0,90.0,0.75
147690,1979,9.58352922,0.75,180.0,90.0,0.75
147690,1979,9.58352922,0.75,270.0,90.0,0.75
147690,1984,15.180310284480003,0.75,0.0,90.0,0.75
147690,1984,15.180310284480003,0.75,90.0,90.0,0.75
147690,1984,15.180310284480003,0.75,180.0,90.0,0.75
147690,1984,15.180310284480003,0.75,270.0,90.0,0.75
147690,1995,20.39375018016,0.6,0.0,90.0,0.6
147690,1995,20.39375018016,0.6,90.0,90.0,0.6
147690,1995,20.39375018016,0.6,180.0,90.0,0.6
147690,1995,20.39375018016,0.6,270.0,90.0,0.6
147690,2002,14.758634998800002,0.6,0.0,90.0,0.6
147690,2002,14.758634998800002,0.6,90.0,90.0,0.6
147690,2002,14.758634998800002,0.6,180.0,90.0,0.6
147690,2002,14.758634998800002,0.6,270.0,90.0,0.6
147690,2009,14.758634998800002,0.6,0.0,90.0,0.6
147690,2009,14.758634998800002,0.6,90.0,90.0,0.6
147690,2009,14.758634998800002,0.6,180.0,90.0,0.6
147690,2009,14.758634998800002,0.6,270.0,90.0,0.6
151187,1918,6.162490900800001,0.75,0.0,90.0,0.75
151187,1918,6.162490900800001,0.75,90.0,90.0,0.75
151187,1918,6.162490900800001,0.75,180.0,90.0,0.75
151187,1918,6.162490900800001,0.75,270.0,90.0,0.75
151187,1919,6.7905154512,0.75,0.0,90.0,0.75
151187,1919,6.7905154512,0.75,90.0,90.0,0.75
151187,1919,6.7905154512,0.75,180.0,90.0,0.75
151187,1919,6.7905154512,0.75,270.0,90.0,0.75
151187,1949,6.515754710400001,0.75,0.0,90.0,0.75
151187,1949,6.515754710400001,0.75,90.0,90.0,0.75
151187,1949,6.515754710400001,0.75,180.0,90.0,0.75
151187,1949,6.515754710400001,0.75,270.0,90.0,0.75
151187,1958,8.7923437056,0.75,0.0,90.0,0.75
151187,1958,8.7923437056,0.75,90.0,90.0,0.75
151187,1958,8.7923437056,0.75,180.0,90.0,0.75
