filename,year,inhabitants,heating:demand[kWh]_mean,heating:demand[kWh]_std,heating:load_max[kW]_mean,heating:load_max[kW]_std,cooling:demand[kWh]_mean,cooling:demand[kWh]_std,cooling:load_max[kW]_mean,cooling:load_max[kW]_std,resistance[K W-1]_mean,resistance[K W-1]_std,capacitance[J K-1]_mean,capacitance[J K-1]_std
G2700270_very_cold.csv,2009,5,28256.72,8241.59,11.88,5.29,1042.32,804.26,193.08,231.55,0.01,0.0,118092593.22,85779886.54
G2700270_very_cold.csv,2009,7,62786.01,,73.41,,108.2,,4.25,,0.0,,216328329.76,
G2700270_very_cold.csv,2009,8,80652.55,,30.4,,0.0,,0.0,,0.0,,359897264.3,
G2800730_hot_humid.csv,1918,1,50805.45,23551.57,180.34,235.88,15309.05,10185.05,40.98,41.4,0.0,0.0,173707644.93,111910403.85
G2800730_hot_humid.csv,1918,2,27355.92,22158.18,39.56,12.79,20728.08,6630.98,131.65,138.68,0.0,0.0,213860062.53,50918226.05
G2800730_hot_humid.csv,1918,3,46709.4,,44.92,,10799.37,,17.28,,0.0,,214235564.76,
G2800730_hot_humid.csv,1918,4,153185.98,,155.79,,6513.84,,47.01,,0.0,,732732620.41,
G2800730_hot_humid.csv,1918,6,85232.17,,542.3,,5238.84,,17.72,,0.0,,238133630.48,
G2800730_hot_humid.csv,1919,1,41477.08,20611.75,122.71,149.52,12610.94,8831.8,27.65,23.84,0.0,0.0,124844471.49,94382322.16
G2800730_hot_humid.csv,1919,2,22814.46,18508.05,32.61,11.07,17024.55,5371.69,89.78,87.71,0.0,0.0,156332567.72,44882615.11
G2800730_hot_humid.csv,1919,3,39023.98,,37.44,,9056.91,,14.4,,0.0,,160566524.6,
G2800730_hot_humid.csv,1919,4,118717.59,,120.16,,5433.36,,36.81,,0.0,,472517167.73,
G2800730_hot_humid.csv,1919,6,66368.17,,355.32,,4274.36,,13.78,,0.0,,153565196.2,
G2800730_hot_humid.csv,1949,1,53400.7,28339.73,143.59,167.03,16407.0,12097.62,32.37,25.31,0.0,0.0,134733961.04,95556128.99
