id,year,climate_zone,state,inhabitants,resistance[K W-1],capacitance[J K-1],area[m2],stories,method,filename,heating_demand_simulated[kWh],heating_demand_real[kWh],cooling_demand_simulated[kWh],cooling_demand_real[kWh],heating_demand_simulated[kWh]/area[m2],heating_demand_real[kWh]/area[m2],cooling_demand_simulated[kWh]/area[m2],cooling_demand_real[kWh]/area[m2],heating_demand_error,cooling_demand_error,heating_demand_rel_error,cooling_demand_rel_error,fit_score
482749,1969,marine,OR,2,0.0016283571570641,199574280.7292647,157.00613760000002,1,geoma,G4100070_marine.csv,7907.8,9098.7,1668.5,15.6,50.4,58.0,10.6,0.1,1190.9,1652.9,0.13,105.96,53.044999999999995
483908,1995,marine,OR,2,0.0020442650524558,234060752.8778996,202.15701504,2,geoma,G4100070_marine.csv,8035.2,8491.4,30282.9,3.6,39.7,42.0,149.8,0.0,456.2,30279.3,0.05,8410.92,4205.485
497907,1984,hot dry,TX,3,0.0060306213536966,19195242.621724635,58.80762432,1,geoma,G4802650_hot_dry.csv,174.0,471.2,12274.8,1918.6,3.0,8.0,208.7,32.6,297.2,10356.2,0.63,5.4,3.015
509301,1995,marine,OR,1,0.0020442650524558,234060752.8778996,202.15701504,2,geoma,G4100070_marine.csv,5866.9,6133.0,34984.3,141.4,29.0,30.3,173.1,0.7,266.1,34842.9,0.04,246.41,123.225
519767,1969,hot humid,MS,6,0.0010333922626505,314477106.26155734,247.40079552,1,geoma,G2800730_hot_humid.csv,4772.0,5922.4,20711.4,2216.9,19.3,23.9,83.7,9.0,1150.4,18494.5,0.19,8.34,4.265
525662,1995,marine,OR,3,0.0035450810986798,108281893.02614926,157.00613760000002,1,geoma,G4100070_marine.csv,3331.7,3475.8,33911.1,271.9,21.2,22.1,216.0,1.7,144.1,33639.2,0.04,123.72,61.88
532637,1984,hot dry,TX,1,0.0017543121860707,65985541.77705026,202.15701504,1,geoma,G4802650_hot_dry.csv,717.9,1597.3,23197.8,2554.3,3.6,7.9,114.8,12.6,879.4,20643.5,0.55,8.08,4.315
537345,1995,hot humid,MS,1,0.0049108090629254,78167993.78219059,113.3417088,1,geoma,G2800730_hot_humid.csv,2234.8,2125.0,47894.5,2344.5,19.7,18.7,422.6,20.7,109.8,45550.0,0.05,19.43,9.74
544163,1984,hot humid,MS,2,0.0014196710474064,120809531.3975104,157.00613760000002,2,geoma,G2800730_hot_humid.csv,446.3,1358.0,133979.4,1787.2,2.8,8.6,853.3,11.4,911.7,132192.2,0.67,73.97,37.32
55734,1984,hot humid,MS,2,0.0011025937822228,155551207.29052225,202.15701504,2,geoma,G2800730_hot_humid.csv,2638.1,3917.8,23533.5,2555.7,13.0,19.4,116.4,12.6,1279.7,20977.8,0.33,8.21,4.2700000000000005
63875,1969,hot dry,TX,3,0.0016283571570641,199574280.7292647,157.00613760000002,1,geoma,G4802650_hot_dry.csv,2501.8,1942.8,109440.0,2236.4,15.9,12.4,697.0,14.2,559.0,107203.6,0.29,47.94,24.115
68993,1984,marine,OR,1,0.0031290027187622,36995570.29779472,113.3417088,1,geoma,G4100070_marine.csv,757.5,999.7,6421.3,340.9,6.7,8.8,56.7,3.0,242.2,6080.4,0.24,17.84,9.04
71009,1979,marine,OR,6,0.0019481619559503,75380654.47203517,157.00613760000002,1,geoma,G4100070_marine.csv,5232.0,5099.7,147883.5,166.9,33.3,32.5,941.9,1.1,132.3,147716.6,0.03,885.06,442.54499999999996
71564,1919,mixed dry,NM,2,0.0018629519591755,70352812.37840699,113.3417088,1,geoma,G3500090_mixed_dry.csv,2796.9,2308.7,52665.9,543.4,24.7,20.4,464.7,4.8,488.2,52122.5,0.21,95.92,48.065
77361,1984,hot dry,TX,2,0.0031290027187622,36995570.29779472,113.3417088,1,geoma,G4802650_hot_dry.csv,501.6,1290.1,10173.6,3813.3,4.4,11.4,89.8,33.6,788.5,6360.3,0.61,1.67,1.14
80450,1979,cold,WI,4,0.0026986833652099,54416803.820049055,113.3417088,1,geoma,G5500950_cold.csv,8070.4,7476.8,113209.7,449.5,71.2,66.0,998.8,4.0,593.6,112760.2,0.08,250.86,125.47000000000001
88955,1979,mixed dry,NM,2,0.0011126575876722,186669318.96679595,202.15701504,2,geoma,G3500090_mixed_dry.csv,35185.6,27607.3,298497.8,941.5,174.1,136.6,1476.6,4.7,7578.3,297556.3,0.27,316.04,158.155
91152,1969,hot dry,TX,4,0.0016283571570641,199574280.7292647,157.00613760000002,1,geoma,G4802650_hot_dry.csv,541.6,1125.9,15318.6,2970.4,3.4,7.2,97.6,18.9,584.3,12348.2,0.52,4.16,2.34
92135,1969,hot dry,TX,2,0.0031095181869361,104510791.9795262,82.2191904,1,geoma,G4802650_hot_dry.csv,510.6,1266.3,13123.5,2548.4,6.2,15.4,159.6,31.0,755.7,10575.1,0.6,4.15,2.375
97376,1995,hot humid,MS,1,0.0018826561889769,265607355.0748916,202.15701504,3,geoma,G2800730_hot_humid.csv,2840.0,3411.0,14107.6,1678.4,14.0,16.9,69.8,8.3,571.0,12429.2,0.17,7.41,3.79
