id,year,climate_zone,state,inhabitants,resistance[K W-1],capacitance[J K-1],area[m2],stories,method,filename,heating_demand_simulated[kWh],heating_demand_real[kWh],cooling_demand_simulated[kWh],cooling_demand_real[kWh],heating_demand_simulated[kWh]/area[m2],heating_demand_real[kWh]/area[m2],cooling_demand_simulated[kWh]/area[m2],cooling_demand_real[kWh]/area[m2],heating_demand_error,cooling_demand_error,heating_demand_rel_error,cooling_demand_rel_error,fit_score
519767,1918,hot humid,MS,6,0.0006555810660663,238133630.48022124,247.40079552,1,geoma,G2800730_hot_humid.csv,23040.1,5922.4,15976.5,2216.9,93.1,23.9,64.6,9.0,17117.7,13759.6,2.89,6.21,4.55
525662,2009,marine,OR,3,0.0054355624978537,110752765.00692044,157.00613760000002,1,geoma,G4100070_marine.csv,2866.4,3475.8,13087.2,271.9,18.3,22.1,83.4,1.7,609.4,12815.3,0.18,47.13,23.655
532637,1918,hot dry,TX,1,0.0008023034829663,194584596.29176173,202.15701504,1,geoma,G4802650_hot_dry.csv,7319.9,1597.3,15142.5,2554.3,36.2,7.9,74.9,12.6,5722.6,12588.2,3.58,4.93,4.255
537345,2002,hot humid,MS,1,0.0075295906732563,79951700.18251061,113.3417088,1,geoma,G2800730_hot_humid.csv,1014.2,2125.0,22115.0,2344.5,8.9,18.7,195.1,20.7,1110.8,19770.5,0.52,8.43,4.475
544163,2009,hot humid,MS,2,0.0035484743479365,184255188.3243605,157.00613760000002,2,geoma,G2800730_hot_humid.csv,270.3,1358.0,24052.2,1787.2,1.7,8.6,153.2,11.4,1087.7,22265.0,0.8,12.46,6.630000000000001
55734,1949,hot humid,MS,2,0.0005528706554026,219282493.4396945,202.15701504,2,geoma,G2800730_hot_humid.csv,19651.0,3917.8,16720.3,2555.7,97.2,19.4,82.7,12.6,15733.2,14164.6,4.02,5.54,4.779999999999999
63875,2002,hot dry,TX,3,0.0054355624978537,110752765.00692044,157.00613760000002,1,geoma,G4802650_hot_dry.csv,601.0,1942.8,29070.9,2236.4,3.8,12.4,185.2,14.2,1341.8,26834.5,0.69,12.0,6.345
68993,1918,marine,OR,1,0.0014309937532251,109096143.1415208,113.3417088,1,geoma,G4100070_marine.csv,4512.1,999.7,3798.6,340.9,39.8,8.8,33.5,3.0,3512.4,3457.7,3.51,10.14,6.825
71009,2002,marine,OR,6,0.0054355624978537,110752765.00692044,157.00613760000002,1,geoma,G4100070_marine.csv,2200.7,5099.7,13738.5,166.9,14.0,32.5,87.5,1.1,2899.0,13571.6,0.57,81.32,40.94499999999999
71564,2009,mixed dry,NM,2,0.0075295906732563,79951700.18251061,113.3417088,1,geoma,G3500090_mixed_dry.csv,144.9,2308.7,16203.1,543.4,1.3,20.4,143.0,4.8,2163.8,15659.7,0.94,28.82,14.88
77361,1918,hot dry,TX,2,0.0014309937532251,109096143.1415208,113.3417088,1,geoma,G4802650_hot_dry.csv,5198.1,1290.1,8639.6,3813.3,45.9,11.4,76.2,33.6,3908.0,4826.3,3.03,1.27,2.15
80450,2009,cold,WI,4,0.0075295906732563,79951700.18251061,113.3417088,1,geoma,G5500950_cold.csv,5113.8,7476.8,11313.2,449.5,45.1,66.0,99.8,4.0,2363.0,10863.7,0.32,24.17,12.245000000000001
88955,2009,mixed dry,NM,2,0.0027559382573588,237242183.30994573,202.15701504,2,geoma,G3500090_mixed_dry.csv,10159.6,27607.3,24611.3,941.5,50.3,136.6,121.7,4.7,17447.7,23669.8,0.63,25.14,12.885
91152,1918,hot dry,TX,4,0.0010330250762927,151124985.171451,157.00613760000002,1,geoma,G4802650_hot_dry.csv,5641.4,1125.9,11578.8,2970.4,35.9,7.2,73.7,18.9,4515.5,8608.4,4.01,2.9,3.455
92135,2002,hot dry,TX,2,0.0103797747134155,57997749.72255892,82.2191904,1,geoma,G4802650_hot_dry.csv,290.2,1266.3,10912.1,2548.4,3.5,15.4,132.7,31.0,976.1,8363.7,0.77,3.28,2.025
97376,1949,hot humid,MS,1,0.0004987414459348,245072674.6334225,202.15701504,3,geoma,G2800730_hot_humid.csv,26450.8,3411.0,11019.6,1678.4,130.8,16.9,54.5,8.3,23039.8,9341.2,6.75,5.57,6.16
